Date,Period,Season,Urban Usage (kWh),Rural Usage (kWh),Total Usage (kWh),Adjusted Total Usage (kWh)
2020-09-22,Post-lockdown,Autumn,1994.9860840901756,847.4355505421571,2862.1572138643496,2856.075985000365
2020-09-23,Post-lockdown,Autumn,2009.3520565196582,856.4486593725322,2843.7360834388105,2850.0905663440294
2020-09-24,Post-lockdown,Autumn,1994.0792931101969,856.7121697406743,2842.322378074305,2848.86326979022
2020-09-25,Post-lockdown,Autumn,1998.9997775665151,839.4641976958707,2861.034825876859,2853.3430375516214
2020-09-26,Post-lockdown,Autumn,2001.8337028864305,846.4822026112928,2853.6000708868546,2856.3176403617053
2020-09-27,Post-lockdown,Autumn,2008.3913664453305,849.7503467435714,2847.317536340618,2850.545396496117
2020-09-28,Post-lockdown,Autumn,1994.0256892441028,855.2245410185833,2854.360145430612,2857.012859828572
2020-09-29,Post-lockdown,Autumn,2007.0508187607747,850.6682643819588,2838.5502613049152,2858.992083727431
2020-09-30,Post-lockdown,Autumn,2001.291165305098,847.0780309991753,2851.7528775329856,2847.154395404633
2020-10-01,Post-lockdown,Autumn,1996.3274567447602,854.0416678865369,2853.368105864215,2847.5443964810183
2020-10-02,Post-lockdown,Autumn,2003.5405173713164,849.435319572245,2856.3433506976894,2851.0201247054733
2020-10-03,Post-lockdown,Autumn,2002.2502984778675,849.9149957042251,2846.687520238537,2853.295063340946
2020-10-04,Post-lockdown,Autumn,1998.218915614206,850.3522078329797,2852.136435807017,2849.085164931165
2020-10-05,Post-lockdown,Autumn,2001.57401042495,853.3615422041925,2847.087876869702,2858.476013394336
2020-10-06,Post-lockdown,Autumn,1999.3584320156913,848.9712519916311,2853.0759187783715,2853.919334307592
2020-10-07,Post-lockdown,Autumn,2001.8575867262562,853.950732463236,2847.329268388185,2852.0032352412036
2020-10-08,Post-lockdown,Autumn,2004.6156533726053,850.1566551579647,2849.786495804199,2844.647452380658
2020-10-09,Post-lockdown,Autumn,2009.2400840807268,845.1889170679107,2846.8549230260487,2845.2549209178624
2020-10-10,Post-lockdown,Autumn,1995.085922505866,850.3261184715227,2855.0406812091182,2853.190046251409
2020-10-11,Post-lockdown,Autumn,2011.8501668732813,845.397932984274,2855.9512555832835,2840.996021869226
2020-10-12,Post-lockdown,Autumn,1991.4345610023875,850.6829339488796,2850.4998971502127,2856.73618704822
2020-10-13,Post-lockdown,Autumn,2000.466074524822,854.6373696461574,2851.9061899748003,2850.9242307781387
2020-10-14,Post-lockdown,Autumn,2004.126586032423,845.1058549699894,2844.4160429268322,2867.8744648479737
2020-10-15,Post-lockdown,Autumn,2002.589959338675,852.2953670290223,2850.160616759966,2863.1985812530806
2020-10-16,Post-lockdown,Autumn,1998.0865024008972,846.3348127082339,2851.4289769147917,2850.7727546537626
2020-10-17,Post-lockdown,Autumn,2000.1743887482135,1457.1749731892191,2864.80496545515,2851.1693149873436
2020-10-18,Post-lockdown,Autumn,1998.7399953267059,854.7830212101024,2846.127164871129,2856.66490757001
2020-10-19,Post-lockdown,Autumn,1998.273176215279,839.8404346294499,2859.0288861937624,2860.2238630495904
2020-10-20,Post-lockdown,Autumn,2005.4980104851052,844.9276208656432,2856.734293867329,2843.5598547128197
2020-10-21,Post-lockdown,Autumn,2003.020077429825,848.6491027744504,2853.1321820224507,2842.7971226732266
2020-10-22,Post-lockdown,Autumn,1997.7754520236967,852.071202445908,2860.5291024209755,2848.625825972228
2020-10-23,Post-lockdown,Autumn,2005.7229993771662,849.6580833532084,2853.5755273630343,2854.6286879158692
2020-10-24,Post-lockdown,Autumn,2002.7364976043832,850.2505960900954,2853.6257959783397,2854.164367952538
2020-10-25,Post-lockdown,Autumn,2005.2693105941946,860.6969226267563,2851.4213967349124,2857.035857274919
2020-10-26,Post-lockdown,Autumn,2004.358144209618,844.4217136057539,2857.8118444120933,2845.6955123581733
2020-10-27,Post-lockdown,Autumn,1997.0650249453897,856.1614250818138,2857.1763461690543,2840.1132806851556
2020-10-28,Post-lockdown,Autumn,1998.3890947990153,848.7261093642279,2848.5376135625193,2855.956070976511
2020-10-29,Post-lockdown,Autumn,2004.9264680256163,853.2233739624937,2845.0697640270064,2847.525018635174
2020-10-30,Post-lockdown,Autumn,2004.2568513271672,861.126732778728,2850.6720968130217,2841.5945606780565
2020-10-31,Post-lockdown,Autumn,2001.0854920301792,853.9193901184271,2847.665807178012,2852.391318729797
2020-11-01,Post-lockdown,Autumn,2001.776636916544,852.33847854895,2851.3483771269234,2855.6318784410937
2020-11-02,Post-lockdown,Autumn,2007.5833244789421,858.4736116757468,2857.8601906734207,2851.0627143393936
2020-11-03,Post-lockdown,Autumn,1998.212143055821,856.0919932229659,2849.351491724566,2849.3487580690876
2020-11-04,Post-lockdown,Autumn,2003.8654869058503,846.4550296191928,2851.3678830934423,2850.7851888392706
2020-11-05,Post-lockdown,Autumn,2000.0890367378304,851.9126237122694,2851.830113674042,2849.687086187996
2020-11-06,Post-lockdown,Autumn,1999.976593983864,841.8385213292962,2855.7331544110266,2844.750764440299
2020-11-07,Post-lockdown,Autumn,2006.5738842599358,847.7312330581287,2840.2775533300774,2847.938596615048
2020-11-08,Post-lockdown,Autumn,2005.23708174494,852.0142648379992,2848.5204985261735,2854.1603995250694
2020-11-09,Post-lockdown,Autumn,2005.1125481800032,847.4074732360937,2852.5194184613974,2853.0713927068828
2020-11-10,Post-lockdown,Autumn,2007.4923940357717,851.7528337298596,2857.3513947821343,2852.191299029834
2020-11-11,Post-lockdown,Autumn,2001.055019208164,850.3130769217348,2848.870487762469,2846.354257590733
2020-11-12,Post-lockdown,Autumn,2004.3997648564748,853.0780836619751,2842.0032364697904,2850.4784841893215
2020-11-13,Post-lockdown,Autumn,1999.5786662170328,848.3310048898594,2854.680557229831,2840.696674767786
2020-11-14,Post-lockdown,Autumn,2002.8208317624424,845.7792554278165,2848.503188055872,5452.697208899392
2020-11-15,Post-lockdown,Autumn,2000.5492847281616,857.8706341308663,2845.7316667045484,2858.824288539068
2020-11-16,Post-lockdown,Autumn,2001.6899798249635,848.0035162865503,2848.565273051434,2844.3163393397895
2020-11-17,Post-lockdown,Autumn,2004.1857851271845,853.7840529655856,2850.771373211721,2848.764361633411
2020-11-18,Post-lockdown,Autumn,1997.1238965838324,857.6622351323626,2848.677276677309,2853.3465338935507
2020-11-19,Post-lockdown,Autumn,2011.7119363784273,851.3133499949877,2840.7221697145046,2858.0142131721373
2020-11-20,Post-lockdown,Autumn,1996.1899130925015,846.2064671527843,2856.1933309844358,2849.466876918499
2020-11-21,Post-lockdown,Autumn,1995.1540569360614,849.5969501272633,2858.089375206394,2848.2537483536707
2020-11-22,Post-lockdown,Autumn,2006.9605543675004,855.5557045830337,2854.8956099566976,2841.7933842879197
2020-11-23,Post-lockdown,Autumn,2005.1183134698147,851.4952377286894,2845.9355716478763,2852.141190646541
2020-11-24,Post-lockdown,Autumn,2004.2555990852607,844.4282910389786,2850.5815423302624,2861.7993802007186
2020-11-25,Post-lockdown,Autumn,2004.2267275463214,853.4172191676686,2851.4863934238524,2852.905792309823
2020-11-26,Post-lockdown,Autumn,2000.9937661357656,854.269657345255,2854.4709719478096,2851.365605104081
2020-11-27,Post-lockdown,Autumn,1996.6037281425708,848.6594405694103,2854.86770244359,2853.136411553835
2020-11-28,Post-lockdown,Autumn,2001.4740227909685,853.4892218780237,2847.8621310061076,2851.477539980257
2020-11-29,Post-lockdown,Autumn,1997.7891914424395,851.6950929773024,2852.054977782068,2847.5799281386994
2020-11-30,Post-lockdown,Autumn,2006.0555986670888,849.4848523067898,2853.9384020230764,2855.7683995783887
2020-12-01,Post-lockdown,Winter,2000.4447130924893,844.0043212820317,2858.9311116107338,3143.65408350636
2020-12-02,Post-lockdown,Winter,1997.0025140160376,855.8417694755287,2855.104532699124,3281.643502068461
2020-12-03,Post-lockdown,Winter,1999.448070791735,854.2180549995992,2855.4222834368775,3144.282899522932
2020-12-04,Post-lockdown,Winter,2003.074657271378,853.3234314718766,2851.833133139647,3306.04788002498
2020-12-05,Post-lockdown,Winter,1998.19137723598,858.1266300183904,2858.466295726018,3173.4212191574284
2020-12-06,Post-lockdown,Winter,1996.868898022168,855.117968635068,2853.420813979798,3146.1855602283
2020-12-07,Post-lockdown,Winter,2002.2234360574596,853.8348300307579,2847.101560449132,3184.172677529001
2020-12-08,Post-lockdown,Winter,3320.9936286356574,839.3598632598658,2858.507849850626,3398.207369896298
2020-12-09,Post-lockdown,Winter,1998.5952841231444,856.4364747590121,2855.0715163626955,3194.107870351332
2020-12-10,Post-lockdown,Winter,1998.8498084719083,850.8974025714102,2849.4717798943575,3237.304951430994
2020-12-11,Post-lockdown,Winter,2002.295249686788,852.0164584012856,2849.1915351630037,3266.0507305169845
2020-12-12,Post-lockdown,Winter,1993.9295782925135,852.0646659484669,2853.120877725704,3341.3000981556893
2020-12-13,Post-lockdown,Winter,1994.0726811281172,854.3131637182114,2853.869923976338,3176.9498328235027
2020-12-14,Post-lockdown,Winter,1997.4727788937378,856.0368751440085,2852.477461328156,3147.5168442124595
2020-12-15,Post-lockdown,Winter,2000.0377642414408,853.6132057152961,2853.1035433672146,3221.507721665469
2020-12-16,Post-lockdown,Winter,2002.65453782799,852.8164279465996,2860.039786872882,3281.926208356156
2020-12-17,Post-lockdown,Winter,2008.4367810847477,851.5815636964778,2856.8417157611743,3318.381038885088
2020-12-18,Post-lockdown,Winter,2005.3232981160102,833.6559474154766,5179.190484561227,3136.204438872581
2020-12-19,Post-lockdown,Winter,2000.2203073501828,848.9700449027491,2856.134552903837,3236.5160216552845
2020-12-20,Post-lockdown,Winter,2000.8899189604865,845.6860524132468,2846.216380482362,3168.2164649841097
2020-12-21,Post-lockdown,Winter,1995.907353176811,856.4216976946955,2853.277635249734,3158.930927842821
2020-12-22,Post-lockdown,Winter,2000.782434320038,853.4451859914315,2860.2715317486654,3382.981954620116
2020-12-23,Post-lockdown,Winter,1999.4517068053992,848.0673150639312,2850.1627705230385,3347.470908215201
2020-12-24,Post-lockdown,Winter,2002.5585928016903,848.5894140886538,2847.0848303569046,3308.9506643088853
2020-12-25,Post-lockdown,Winter,1996.8688452822385,848.432093183488,2848.146555557035,3404.3726088121043
2020-12-26,Post-lockdown,Winter,2003.6367325712058,848.3568692284055,2846.0078348132884,3380.582519982353
2020-12-27,Post-lockdown,Winter,2008.728694565013,843.2032127823761,2847.5671904593614,3206.6096627021975
2020-12-28,Post-lockdown,Winter,2000.5161992577157,842.1176025336111,2849.63145950705,3187.757783989962
2020-12-29,Post-lockdown,Winter,2003.0335586104948,850.5552338619087,2844.4071649041066,3218.0470630161876
2020-12-30,Post-lockdown,Winter,2004.4757199585556,855.7865706967967,2851.513091669748,3378.57498786215
2020-12-31,Post-lockdown,Winter,1999.0238976405708,847.7235515128607,2855.9533858689333,3375.424207501809
2021-01-01,Post-lockdown,Winter,2002.2354624090522,851.9632237546202,2847.0222190992654,3193.033787909071
2021-01-02,Post-lockdown,Winter,2001.192962003909,854.1233045858836,2859.1784196182093,3139.178179317779
2021-01-03,Post-lockdown,Winter,2001.5783804927441,845.4691089720808,2854.079960442638,3205.4555660912256
2021-01-04,Post-lockdown,Winter,1997.2349510807226,850.3401228564005,2856.6929029281205,3268.2056218742373
2021-01-05,Post-lockdown,Winter,2001.2225508712945,847.1073975936325,2848.250827230739,3289.1308167617876
2021-01-06,Post-lockdown,Winter,2003.6499914562273,858.4945974591566,2855.8966261353335,3335.213963402421
2021-01-07,Post-lockdown,Winter,2008.3807180389751,858.2622975343106,5407.3108430602515,3144.2664844982455
2021-01-08,Post-lockdown,Winter,2005.9063541304258,1396.2847859712006,2856.005237504183,3230.2707435021257
2021-01-09,Post-lockdown,Winter,2011.9359122875578,852.3974219154215,2852.4971966989674,3149.785065520482
2021-01-10,Post-lockdown,Winter,1997.3482621855596,855.8119965040624,2854.425256099924,3390.9814236839975
2021-01-11,Post-lockdown,Winter,2005.5366031836033,854.7116475018817,2845.7670269718756,3293.0400895817174
2021-01-12,Post-lockdown,Winter,2002.056710028692,850.8638151749218,2847.120650788617,3308.8626655765847
2021-01-13,Post-lockdown,Winter,2012.0940146660882,856.9907873088217,2854.589141091267,3393.4174481750515
2021-01-14,Post-lockdown,Winter,1997.0935085732242,845.9314265550528,2846.847259978879,3156.6179372795445
2021-01-15,Post-lockdown,Winter,1996.926390789096,848.9345352780266,2853.8910314604955,3158.3584896926664
2021-01-16,Post-lockdown,Winter,1998.14303677278,846.0677879012021,2844.760310967699,3401.0943151213637
2021-01-17,Post-lockdown,Winter,1990.570521378451,854.388467473503,2855.9068710633337,3412.2030812001112
2021-01-18,Post-lockdown,Winter,1998.5912248915963,847.5748156285028,2845.5453834261575,3252.003282362583
2021-01-19,Post-lockdown,Winter,1997.3843366922315,849.6157541228146,2854.4134996883977,3206.927244429515
2021-01-20,Post-lockdown,Winter,2001.926968932381,853.5583518413288,2854.77315466823,3300.4104818261735
2021-01-21,Post-lockdown,Winter,2002.8187798788856,853.935249568889,2848.0701409078524,3162.78013560338
2021-01-22,Post-lockdown,Winter,2010.4808541960792,845.9043682687238,2854.4501328354236,3303.136249528333
2021-01-23,Post-lockdown,Winter,2005.8871191909302,855.7372764188639,2852.8912113166675,3366.980588486017
2021-01-24,Post-lockdown,Winter,1998.255481721688,852.7344483433362,2848.9017907190364,3193.279881267497
2021-01-25,Post-lockdown,Winter,1996.5879266432582,845.023485802098,2846.4692265796193,3272.4276288652795
2021-01-26,Post-lockdown,Winter,2003.5445958575326,843.7954205212169,2841.705871541637,3321.749926779367
2021-01-27,Post-lockdown,Winter,1994.4588339648967,850.3449014486896,2853.232250236498,3420.3061548510227
2021-01-28,Post-lockdown,Winter,2010.2322938292718,854.680469946584,2843.68098614319,3351.233411113194
2021-01-29,Post-lockdown,Winter,2006.9222006036066,854.7885793120049,2851.9117209972064,3284.055648366182
2021-01-30,Post-lockdown,Winter,1998.6991217394766,852.1988343861242,2850.145758919589,3196.145387818405
2021-01-31,Post-lockdown,Winter,1992.5093273545456,850.673374191634,2854.9007138771913,3187.168128189162
2021-02-01,Post-lockdown,Winter,2007.844361870827,852.988688345395,2849.994772502551,3231.670251251995
2021-02-02,Post-lockdown,Winter,2000.527300773737,846.1633474280537,2849.8927610682645,3371.428694054526
2021-02-03,Post-lockdown,Winter,2007.2140815598675,858.8449393151269,2855.0943535214415,3174.552829145928
2021-02-04,Post-lockdown,Winter,1993.0628617060283,858.7836920906126,2853.1242901454207,3152.4857336067407
2021-02-05,Post-lockdown,Winter,1998.078124885231,852.5740615731034,2853.085779785914,3343.0491174759154
2021-02-06,Post-lockdown,Winter,2001.051218498591,851.3965020999642,2853.7813379490426,3327.5081341064324
2021-02-07,Post-lockdown,Winter,2001.2399029688238,848.3448951367031,2843.7291393839646,3303.918532670886
2021-02-08,Post-lockdown,Winter,1998.754672642604,853.0457442289984,2855.190943399935,3367.937861817804
2021-02-09,Post-lockdown,Winter,2004.1242496617374,1584.5947071870735,2854.4763439700682,3142.15290851157
2021-02-10,Post-lockdown,Winter,1995.711897853087,839.3019398450223,2846.3865843571175,3209.3940410183004
2021-02-11,Post-lockdown,Winter,2000.3981025748935,836.8734634975445,2850.333597631629,3228.205354188187
2021-02-12,Post-lockdown,Winter,2001.7464781585595,846.4605083341826,2851.406463561862,3225.9647756205554
2021-02-13,Post-lockdown,Winter,2003.7171941702936,851.2398906145913,2850.9305160779913,3235.8104411657296
2021-02-14,Post-lockdown,Winter,2004.7030743904445,852.1178586697674,2853.2722998328427,3233.7615453032
2021-02-15,Post-lockdown,Winter,1995.5267895408108,848.0262149574536,2858.766833909156,3318.832211172001
2021-02-16,Post-lockdown,Winter,1993.469429146322,851.1651758357145,2857.0048336383643,3235.829802666305
2021-02-17,Post-lockdown,Winter,2007.5333841094925,849.0868582147273,2845.041904032843,3340.953803800515
2021-02-18,Post-lockdown,Winter,2002.756570059898,845.4414362117493,2854.64334995153,3268.1344044413663
2021-02-19,Post-lockdown,Winter,1997.2925673172174,850.1452774551543,2858.093666597677,3159.9410535883
2021-02-20,Post-lockdown,Winter,2008.7757598776127,854.4727855618282,2853.362042603446,3324.0428209447
2021-02-21,Post-lockdown,Winter,2001.6783731714643,845.6696912612684,2856.99490212593,3317.3431921404513
2021-02-22,Post-lockdown,Winter,2007.051485920319,845.6939769349015,2861.678352228504,3386.9818388992658
2021-02-23,Post-lockdown,Winter,2001.5425924070505,845.1357470302391,2856.8055477305347,3411.567484071038
2021-02-24,Post-lockdown,Winter,2011.5187396244098,840.8034063274594,2852.9475429782087,3309.8528575384976
2021-02-25,Post-lockdown,Winter,2010.036704212216,848.1029881292649,2856.989442370424,3262.545358249041
2021-02-26,Post-lockdown,Winter,2000.0201792576047,854.0764305647626,2852.4954391654846,3239.614812297953
2021-02-27,Post-lockdown,Winter,2006.0978547547718,851.3655804191689,2851.8555152164245,3299.7028303380985
2021-02-28,Post-lockdown,Winter,2004.5118797479258,849.6677455797185,2850.041928821431,3180.1169870285316
2021-03-01,Post-lockdown,Summer,2008.1631577876617,851.1733239912008,2859.6650667941603,3479.9967076400435
2021-03-02,Post-lockdown,Summer,1996.4903826970994,848.0810925628541,2847.74885667029,3296.8305522810883
2021-03-03,Post-lockdown,Summer,2004.7002572999922,840.7685668136827,2859.43983862339,3532.3225569428528
2021-03-04,Post-lockdown,Summer,2006.557122434248,854.4245939090728,2854.270320618702,3336.7491187890705
2021-03-05,Post-lockdown,Summer,1992.4913025678845,855.8696228689232,2844.8024691259902,3468.345814029927
2021-03-06,Post-lockdown,Summer,1995.3887074366712,846.8812161196611,2853.6652464649574,3472.473257129886
2021-03-07,Post-lockdown,Summer,1991.1088391111996,849.7678218969672,2841.326867461742,3354.6894476984244
2021-03-08,Post-lockdown,Summer,1999.9479658277774,849.3330041446992,2854.940540084155,3325.3523021532214
2021-03-09,Post-lockdown,Summer,2004.8977112789798,852.2804440471227,2856.260157414945,3520.6118640712148
2021-03-10,Post-lockdown,Summer,2008.8467852604801,858.9834672831314,2848.90722022174,3563.3734394187504
2021-03-11,Post-lockdown,Summer,2001.6804739020988,856.3229562264465,2852.4517384797778,3306.4835897695266
2021-03-12,Post-lockdown,Summer,2009.4580777278566,848.6414288729304,2861.611787168751,3286.156188079341
2021-03-13,Post-lockdown,Summer,1994.4094927089254,853.2363193075012,2849.30526647869,3345.112093529389
2021-03-14,Post-lockdown,Summer,1992.8030878032241,856.7997843428636,2846.5534620647168,3345.972431029131
2021-03-15,Post-lockdown,Summer,2001.0572615055169,852.5757258219738,2859.2773170123132,3401.0950785037608
2021-03-16,Post-lockdown,Summer,2003.2553272446967,850.5105029777991,2861.681935952654,3495.2207717255787
2021-03-17,Post-lockdown,Summer,2001.1815262595296,852.768000473336,2851.9014783592393,3325.199656936697
2021-03-18,Post-lockdown,Summer,1991.0127894998004,847.0236423871826,2856.9473151770417,3469.9783499619084
2021-03-19,Post-lockdown,Summer,2000.8893998024362,847.7475943794796,2858.5763795776547,3389.6258539369105
2021-03-20,Post-lockdown,Summer,1994.7626524974758,845.1938288239945,2848.086578837308,3452.5592680730565
2021-03-21,Post-lockdown,Summer,2004.62836274415,852.0473225828512,2849.3654708231606,3289.495482245175
2021-03-22,Post-lockdown,Summer,2003.0829912304841,849.8429854698888,2857.904372565774,3307.598195765063
2021-03-23,Post-lockdown,Summer,1996.5606010683632,846.3884096932596,2860.1890713935427,3557.9892837285697
2021-03-24,Post-lockdown,Summer,1998.7556654133166,849.7091029418974,2854.669404300872,3508.034170950038
2021-03-25,Post-lockdown,Summer,1996.0639323905552,852.8939913038158,2847.50492823249,3468.8316468189164
2021-03-26,Post-lockdown,Summer,2001.0316045136342,860.11156152999,2861.818305558497,3429.134685386311
2021-03-27,Post-lockdown,Summer,2006.1657116025062,855.6163393235194,2849.29114551094,3534.246945766352
2021-03-28,Post-lockdown,Summer,1996.4863697683222,839.1452607125883,2850.305311094143,3473.2061429028768
2021-03-29,Post-lockdown,Summer,2003.9652325775892,851.7745423341017,2853.7346891724483,3484.398638661164
2021-03-30,Post-lockdown,Summer,1998.6887119081377,857.6826213135643,2859.646802103574,3360.3178004570764
2021-03-31,Post-lockdown,Summer,1997.3906358386882,843.8526325439489,2856.166879882761,3481.1607341940394
2021-04-01,Post-lockdown,Summer,2000.794848200227,853.2897963510621,2853.9363275018095,3495.371397288434
2021-04-02,Post-lockdown,Summer,1996.138788387903,849.3427890723448,2854.1574426505904,3371.819202636868
2021-04-03,Post-lockdown,Summer,1998.561753473264,856.2834526545809,2852.0795733432174,3419.016231478225
2021-04-04,Post-lockdown,Summer,1995.3906105370559,852.5732859750673,2854.722697572592,3290.4710063486355
2021-04-05,Post-lockdown,Summer,2011.2586256645818,846.153922727204,2839.3611996115287,3341.7632537103773
2021-04-06,Post-lockdown,Summer,2001.6413177598586,849.581742608547,2850.567962704651,3418.418047352378
2021-04-07,Post-lockdown,Summer,1997.9513724600372,849.8715216197619,2853.236609674584,3567.8982661491
2021-04-08,Post-lockdown,Summer,2002.4498995536712,849.9361089259497,2846.176929581902,3529.676692071205
2021-04-09,Post-lockdown,Summer,2000.853359751546,856.1623147238763,2853.912616589058,3353.2141490993545
2021-04-10,Post-lockdown,Summer,2000.295152002334,846.3469003930488,2850.9376438950694,3528.680628574211
2021-04-11,Post-lockdown,Summer,2004.5108335002171,855.591256548306,2860.7933784915776,3438.0107728997627
2021-04-12,Post-lockdown,Summer,2005.1775385502367,849.0447516203924,2859.811098626074,3445.157891179412
2021-04-13,Post-lockdown,Summer,1998.7274942619474,851.6695555316459,2849.602972154409,3487.999996191941
2021-04-14,Post-lockdown,Summer,1998.4559087967766,850.8958879314051,2851.1148114421667,3555.7730339140376
2021-04-15,Post-lockdown,Summer,1999.9347415142418,850.4149733095908,2851.4642621719577,3331.7575454257585
2021-04-16,Post-lockdown,Summer,1989.860394176322,850.4799858277734,2849.659702619202,3519.0383724546305
2021-04-17,Post-lockdown,Summer,1993.829044689007,857.8487927913551,2852.942124920141,3467.095540952597
2021-04-18,Post-lockdown,Summer,2008.2843713372226,854.7922496245308,2848.2385896555625,3461.808720751468
2021-04-19,Post-lockdown,Summer,2009.6398385675063,848.7524215521004,2846.3279233253124,3394.681510306769
2021-04-20,Post-lockdown,Summer,2000.1648198022183,858.4779362706104,2855.0875561195016,3555.876152017859
2021-04-21,Post-lockdown,Summer,2004.267784815279,851.9274053699643,2855.086647921109,3285.061637788759
2021-04-22,Post-lockdown,Summer,2002.9812507727177,852.3581212966195,2847.9734212017,3344.7365156795217
2021-04-23,Post-lockdown,Summer,2016.7894040422761,846.3714046033431,2856.429777153813,3467.187602656381
2021-04-24,Post-lockdown,Summer,2006.987874557173,848.0685067079744,2848.7881113541735,3510.367784289609
2021-04-25,Post-lockdown,Summer,2000.7954120425961,847.131482460364,2853.2748261901897,3554.6514416274367
2021-04-26,Post-lockdown,Summer,1996.677297796998,851.0123643249684,2856.138720063062,3328.1673158393482
2021-04-27,Post-lockdown,Summer,1993.3477683987123,853.7459153972411,2851.7639371764812,3485.6351558107945
2021-04-28,Post-lockdown,Summer,2002.4123181793361,852.3941614971111,2854.2267045607055,3446.736027682819
2021-04-29,Post-lockdown,Summer,1997.5982462735785,858.4922207803479,2849.349851780562,3522.3997045504325
2021-04-30,Post-lockdown,Summer,1994.2537314520116,846.1072099739439,2850.9286670828596,3397.693521782241
2021-05-01,Post-lockdown,Summer,1998.1571355787876,851.1303452176944,2850.916702845598,3294.1369089798854
2021-05-02,Post-lockdown,Summer,1995.907259981928,844.1113033535084,2848.1081082672986,3431.8722227256458
2021-05-03,Post-lockdown,Summer,2009.7607081753629,845.9206451419836,2850.971129184421,3331.004686312
2021-05-04,Post-lockdown,Summer,2005.8131987847473,856.8848918866923,2844.2239085056813,3452.8586921313326
2021-05-05,Post-lockdown,Summer,2001.405136793417,848.2621756676426,2849.5672312642896,3464.235294696909
2021-05-06,Post-lockdown,Summer,2008.79472069445,846.5411810196987,2850.5286225331515,3489.420984450449
2021-05-07,Post-lockdown,Summer,2001.826841538238,839.9261156220853,2850.7351012375234,3554.1486788784223
2021-05-08,Post-lockdown,Summer,1997.1285789933586,846.5072267610553,2850.8015127706462,3482.7296869592906
2021-05-09,Post-lockdown,Summer,2009.0606203863483,849.5515986290251,2851.7141790006995,3492.06498534912
2021-05-10,Post-lockdown,Summer,2004.1495502184232,843.7949852010689,2854.43420759043,3561.848449718307
2021-05-11,Post-lockdown,Summer,1996.2387692283676,849.2560830550877,2856.3675853706627,3502.4681439009173
2021-05-12,Post-lockdown,Summer,2000.448306609582,856.9131553032911,2848.7111738657586,3346.9089415959365
2021-05-13,Post-lockdown,Summer,1997.0219087330763,847.0234732983582,2845.9439957230543,6387.326691420843
2021-05-14,Post-lockdown,Summer,1994.5010013451783,845.8490847531504,2846.7707779387847,3535.1219389748685
2021-05-15,Post-lockdown,Summer,2006.1358877376583,844.9824926656745,2849.670985394025,3361.9416333363156
2021-05-16,Post-lockdown,Summer,2010.8370832023506,844.807179537421,2850.0463934109175,3303.037553355391
2021-05-17,Post-lockdown,Summer,1994.2321621309043,853.1678872344421,2847.865019669013,3288.660224316841
2021-05-18,Post-lockdown,Summer,2004.1098461834529,850.7613436844152,2845.3324166787506,3392.3830259917263
2021-05-19,Post-lockdown,Summer,1998.001787154391,855.2862843963778,2849.476395862629,3444.5708456572493
2021-05-20,Post-lockdown,Summer,1998.8793730811765,860.6251894582713,2852.7481331005697,3357.175635777195
2021-05-21,Post-lockdown,Summer,1998.3630303788057,841.3780443404543,2854.8301473291776,3460.105982838908
2021-05-22,Post-lockdown,Summer,1997.015046151601,852.4343935422089,2849.0818847344585,3363.789663477181
2021-05-23,Post-lockdown,Summer,2001.592608139724,844.9469033278322,2849.8250108892826,3435.0506592539514
2021-05-24,Post-lockdown,Summer,1997.2202494179448,854.4944964901672,2847.2915084557635,3473.077308882543
2021-05-25,Post-lockdown,Summer,2002.702284128899,849.1804399946328,2851.732804148126,3483.989711143063
2021-05-26,Post-lockdown,Summer,2001.1238094527544,850.6866138043208,2847.682856829046,3364.871517778671
2021-05-27,Post-lockdown,Summer,2000.150259765668,844.122112860351,2854.7486390662057,3472.492449964826
2021-05-28,Post-lockdown,Summer,1996.827181689792,848.4138648744342,2842.9816675403295,3387.5532769434017
2021-05-29,Post-lockdown,Summer,1998.4411433471585,850.9783112555413,2850.0568516377375,3337.543087861058
2021-05-30,Post-lockdown,Summer,2005.081956129129,857.3023907340336,2853.332536695959,3545.8549020153537
2021-05-31,Post-lockdown,Summer,2003.799585938122,846.5451973629573,2852.7321725816128,3484.200108521427
2021-06-01,Post-lockdown,Monsoon,1996.3922237760073,847.7585421423483,2865.2571683199026,2854.4801495147494
2021-06-02,Post-lockdown,Monsoon,2001.7766615271462,855.2334482109113,2853.5410001228393,2853.932931239053
2021-06-03,Post-lockdown,Monsoon,2005.051935616859,846.2212985815034,2846.79272701579,2850.4130334906276
2021-06-04,Post-lockdown,Monsoon,1992.9079735943933,856.2139257198705,2851.279678764555,2845.361846318901
2021-06-05,Post-lockdown,Monsoon,2003.9168009618998,850.4345671263687,2842.7987683326683,2854.2564716081224
2021-06-06,Post-lockdown,Monsoon,1997.9168812052708,852.0076148079592,2851.3190012535165,2847.550590949827
2021-06-07,Post-lockdown,Monsoon,2004.107993342966,852.3396115125468,2847.591719714996,2862.6774836669024
2021-06-08,Post-lockdown,Monsoon,1997.4387042172875,847.4208972329669,2856.333951377801,2854.6095360417726
2021-06-09,Post-lockdown,Monsoon,1992.1505894966774,852.419434097362,2848.8972986270223,2848.74175848723
2021-06-10,Post-lockdown,Monsoon,1993.057287810584,846.6161510784284,2851.0891704210235,2848.6160737630566
